# Name	Leaf 1
# IsDefault	Default 1
Wavelength	Reflectance	
689	0.115	
690	0.12	
691	0.125	
692	0.131	
693	0.139	
694	0.149	
695	0.159	
696	0.172	
697	0.186	
698	0.202	
699	0.218	
700	0.236	
701	0.255	
702	0.275	
703	0.295	
704	0.316	
705	0.337	
706	0.357	
707	0.379	
708	0.4	
709	0.42	
710	0.441	
711	0.462	
712	0.483	
713	0.504	
714	0.525	
715	0.545	
716	0.566	
717	0.586	
718	0.606	
719	0.626	
720	0.645	
721	0.664	
722	0.683	
723	0.701	
724	0.719	
725	0.736	
726	0.753	
727	0.769	
728	0.784	
729	0.799	
730	0.813	
731	0.827	
732	0.839	
733	0.852	
734	0.863	
735	0.874	
736	0.884	
737	0.894	
738	0.903	
739	0.912	
740	0.919	
741	0.926	
742	0.933	
743	0.939	
744	0.945	
745	0.95	
746	0.955	
747	0.959	
748	0.962	
749	0.966	
750	0.969	
751	0.972	
752	0.974	
753	0.976	
754	0.978	
755	0.98	
756	0.982	
757	0.983	
758	0.984	
759	0.985	
760	0.986	
761	0.987	
762	0.988	
763	0.989	
764	0.989	
765	0.99	
766	0.99	
767	0.991	
768	0.991	
769	0.991	
770	0.992	
771	0.992	
772	0.992	
773	0.992	
774	0.992	
775	0.992	
776	0.993	
777	0.993	
778	0.993	
779	0.993	
780	0.993	
781	0.993	
782	0.993	
783	0.994	
784	0.994	
785	0.994	
786	0.994	
787	0.994	
788	0.994	
789	0.994	
790	0.994	
791	0.995	
792	0.995	
793	0.995	
794	0.995	
795	0.995	
796	0.995	
797	0.995	
798	0.995	
799	0.995	
800	0.995	
801	0.996	
802	0.996	
803	0.996	
804	0.996	
805	0.996	
806	0.996	
807	0.996	
808	0.996	
809	0.996	
810	0.996	
811	0.997	
812	0.997	
813	0.997	
814	0.997	
815	0.997	
816	0.997	
817	0.997	
818	0.997	
819	0.997	
820	0.997	
821	0.997	
822	0.997	
823	0.998	
824	0.998	
825	0.998	
826	0.998	
827	0.998	
828	0.998	
829	0.998	
830	0.998	
831	0.998	
832	0.998	
833	0.998	
834	0.998	
835	0.998	
836	0.999	
837	0.999	
838	0.999	
839	0.999	
840	0.999	
841	0.999	
842	0.999	
843	0.999	
844	0.999	
845	0.999	
846	0.999	
847	0.999	
848	0.999	
849	0.999	
850	1.0	
851	1.0	
852	1.0	
853	1.0	
854	1.0	
855	1.0	
856	1.0	
857	1.0	
858	1.0	
859	1.0	
860	1.0	
861	1.0	
862	1.0	
863	1.0	
864	1.0	
865	1.0	
866	1.0	
867	1.0	
868	1.0	
869	1.0	
870	1.0	
871	1.0	
872	1.0	
873	1.0	
874	1.0	
875	1.0	
876	1.0	
877	1.0	
878	1.0	
879	1.0	
880	1.0	
881	1.0	
882	1.0	
883	1.0	
884	1.0	
885	1.0	
886	1.0	
887	1.0	
888	1.0	
889	1.0	
890	1.0	
891	1.0	
892	1.0	
893	1.0	
894	1.0	
895	1.0	
896	1.0	
897	1.0	
898	1.0	
899	1.0	
900	1.0	
901	0.999	
902	0.999	
903	0.999	
904	0.999	
905	0.999	
906	0.999	
907	0.999	
908	0.999	
909	0.999	
910	0.999	
911	0.999	
912	0.999	
913	0.999	
914	0.999	
915	0.999	
916	0.999	
917	0.999	
918	0.999	
919	0.999	
920	0.999	
921	0.999	
922	0.999	
923	0.999	
924	0.999	
925	0.998	
926	0.998	
927	0.998	
928	0.998	
929	0.998	
930	0.998	
931	0.998	
932	0.998	
933	0.998	
934	0.998	
935	0.998	
936	0.998	
937	0.998	
938	0.998	
939	0.997	
940	0.997	
941	0.997	
942	0.997	
943	0.997	
944	0.997	
945	0.997	
946	0.997	
947	0.996	
948	0.996	
949	0.996	
950	0.996	
951	0.996	
952	0.995	
953	0.995	
954	0.995	
955	0.995	
956	0.994	
957	0.994	
958	0.994	
959	0.994	
960	0.994	
961	0.993	
962	0.993	
963	0.993	
964	0.993	
965	0.993	
966	0.993	
967	0.993	
968	0.993	
969	0.992	
970	0.992	
971	0.992	
972	0.992	
973	0.991	
974	0.992	
975	0.992	
976	0.992	
977	0.989	
978	0.992	
979	0.991	
980	0.991	
981	0.991	
982	0.991	
983	0.991	
984	0.991	
985	0.99	
986	0.991	
987	0.991	
988	0.99	
989	0.991	
990	0.991	
991	0.991	
992	0.991	
993	0.991	
994	0.991	
995	0.991	
996	0.991	
997	0.991	
998	0.992	
999	0.992	
1000	0.992	
1001	0.992	
1002	0.992	
1003	0.992	
1004	0.992	
1005	0.992	
1006	0.992	
1007	0.993	
1008	0.992	
1009	0.992	
1010	0.992	
1011	0.993	
1012	0.993	
1013	0.993	
1014	0.993	
1015	0.994	
1016	0.994	
1017	0.994	
1018	0.994	
1019	0.994	
1020	0.994	
1021	0.994	
1022	0.994	
1023	0.994	
1024	0.994	
1025	0.994	
1026	0.994	
1027	0.994	
1028	0.994	
1029	0.994	
1030	0.994	
1031	0.995	
1032	0.995	
1033	0.995	
1034	0.995	
1035	0.995	
1036	0.995	
1037	0.995	
1038	0.995	
1039	0.995	
1040	0.995	
1041	0.995	
1042	0.995	
1043	0.995	
1044	0.995	
1045	0.995	
1046	0.995	
1047	0.995	
1048	0.995	
1049	0.995	
1050	0.995	
1051	0.995	
1052	0.995	
1053	0.995	
1054	0.995	
1055	0.995	
1056	0.995	
1057	0.995	
1058	0.995	
1059	0.995	
1060	0.995	
1061	0.995	
1062	0.995	
1063	0.995	
1064	0.995	
1065	0.995	
1066	0.995	
1067	0.994	
1068	0.994	
1069	0.994	
1070	0.994	
1071	0.994	
1072	0.994	
1073	0.994	
1074	0.994	
1075	0.994	
1076	0.994	
1077	0.994	
1078	0.994	
1079	0.994	
1080	0.994	
1081	0.994	
1082	0.994	
1083	0.994	
1084	0.994	
1085	0.994	
1086	0.994	
1087	0.994	
1088	0.994	
1089	0.994	
1090	0.993	
1091	0.993	
1092	0.993	
1093	0.993	
1094	0.993	
1095	0.993	
1096	0.993	
1097	0.993	
1098	0.993	
1099	0.993	
1100	0.993	
