# Name	Leaf 2
# IsDefault	Default 2
Wavelength	Reflectance	
729	0.912	
730	0.92	
731	0.927	
732	0.933	
733	0.939	
734	0.945	
735	0.95	
736	0.954	
737	0.959	
738	0.963	
739	0.967	
740	0.97	
741	0.973	
742	0.976	
743	0.979	
744	0.981	
745	0.983	
746	0.985	
747	0.987	
748	0.988	
749	0.99	
750	0.991	
751	0.992	
752	0.993	
753	0.994	
754	0.995	
755	0.995	
756	0.996	
757	0.997	
758	0.997	
759	0.998	
760	0.998	
761	0.998	
762	0.999	
763	0.999	
764	0.999	
765	0.999	
766	0.999	
767	0.999	
768	0.999	
769	1.0	
770	1.0	
771	1.0	
772	1.0	
773	1.0	
774	1.0	
775	1.0	
776	1.0	
777	1.0	
778	1.0	
779	1.0	
780	1.0	
781	1.0	
782	1.0	
783	1.0	
784	1.0	
785	1.0	
786	1.0	
787	1.0	
788	1.0	
789	1.0	
790	1.0	
791	1.0	
792	1.0	
793	1.0	
794	1.0	
795	1.0	
796	1.0	
797	1.0	
798	1.0	
799	1.0	
800	1.0	
801	1.0	
802	1.0	
803	1.0	
804	1.0	
805	1.0	
806	1.0	
807	1.0	
808	1.0	
809	1.0	
810	1.0	
811	1.0	
812	1.0	
813	1.0	
814	1.0	
815	1.0	
816	1.0	
817	1.0	
818	0.999	
819	0.999	
820	0.999	
821	0.999	
822	0.999	
823	0.999	
824	0.999	
825	0.999	
826	0.999	
827	0.999	
828	0.999	
829	0.999	
830	0.999	
831	0.998	
832	0.998	
833	0.998	
834	0.998	
835	0.998	
836	0.998	
837	0.998	
838	0.998	
839	0.998	
840	0.998	
841	0.998	
842	0.998	
843	0.998	
844	0.998	
845	0.997	
846	0.997	
847	0.997	
848	0.997	
849	0.997	
850	0.997	
851	0.997	
852	0.997	
853	0.997	
854	0.997	
855	0.997	
856	0.997	
857	0.997	
858	0.997	
859	0.996	
860	0.996	
861	0.996	
862	0.996	
863	0.996	
864	0.996	
865	0.996	
866	0.996	
867	0.996	
868	0.996	
869	0.995	
870	0.995	
871	0.995	
872	0.995	
873	0.995	
874	0.995	
875	0.995	
876	0.995	
877	0.995	
878	0.994	
879	0.994	
880	0.994	
881	0.994	
882	0.994	
883	0.994	
884	0.994	
885	0.994	
886	0.993	
887	0.993	
888	0.993	
889	0.993	
890	0.993	
891	0.993	
892	0.992	
893	0.992	
894	0.992	
895	0.992	
896	0.992	
897	0.992	
898	0.991	
899	0.991	
900	0.991	
901	0.991	
902	0.991	
903	0.991	
904	0.99	
905	0.99	
906	0.99	
907	0.99	
908	0.99	
909	0.989	
910	0.989	
911	0.989	
912	0.989	
913	0.989	
914	0.988	
915	0.988	
916	0.988	
917	0.988	
918	0.987	
919	0.987	
920	0.987	
921	0.987	
922	0.986	
923	0.986	
924	0.986	
925	0.985	
926	0.985	
927	0.985	
928	0.984	
929	0.984	
930	0.983	
931	0.983	
932	0.982	
933	0.982	
934	0.981	
935	0.981	
936	0.98	
937	0.98	
938	0.979	
939	0.978	
940	0.978	
941	0.977	
942	0.977	
943	0.976	
944	0.975	
945	0.974	
946	0.973	
947	0.973	
948	0.972	
949	0.971	
950	0.969	
951	0.968	
952	0.967	
953	0.966	
954	0.965	
955	0.964	
956	0.962	
957	0.961	
958	0.96	
959	0.959	
960	0.958	
961	0.957	
962	0.957	
963	0.956	
964	0.956	
965	0.955	
966	0.955	
967	0.954	
968	0.954	
969	0.954	
970	0.953	
971	0.953	
972	0.953	
973	0.953	
974	0.952	
975	0.952	
976	0.952	
977	0.952	
978	0.951	
979	0.951	
980	0.951	
981	0.951	
982	0.951	
983	0.951	
984	0.951	
985	0.951	
986	0.951	
987	0.951	
988	0.951	
989	0.951	
990	0.95	
991	0.95	
992	0.949	
993	0.949	
994	0.949	
995	0.949	
996	0.95	
997	0.95	
998	0.95	
999	0.951	
1000	0.951	
1001	0.951	
1002	0.952	
1003	0.952	
1004	0.953	
1005	0.953	
1006	0.953	
1007	0.954	
1008	0.954	
1009	0.955	
1010	0.955	
1011	0.955	
1012	0.956	
1013	0.956	
1014	0.956	
1015	0.957	
1016	0.957	
1017	0.958	
1018	0.958	
1019	0.959	
1020	0.959	
1021	0.96	
1022	0.96	
1023	0.961	
1024	0.961	
1025	0.961	
1026	0.962	
1027	0.962	
1028	0.962	
1029	0.963	
1030	0.963	
1031	0.963	
1032	0.963	
1033	0.964	
1034	0.964	
1035	0.964	
1036	0.964	
1037	0.965	
1038	0.965	
1039	0.965	
1040	0.965	
1041	0.965	
1042	0.966	
1043	0.966	
1044	0.966	
1045	0.966	
1046	0.966	
1047	0.966	
1048	0.966	
1049	0.967	
1050	0.967	
1051	0.967	
1052	0.967	
1053	0.967	
1054	0.967	
1055	0.967	
1056	0.967	
1057	0.967	
1058	0.967	
1059	0.967	
1060	0.967	
1061	0.967	
1062	0.967	
1063	0.967	
1064	0.967	
1065	0.967	
1066	0.967	
1067	0.967	
1068	0.967	
1069	0.967	
1070	0.967	
1071	0.967	
1072	0.967	
1073	0.967	
1074	0.967	
1075	0.967	
1076	0.967	
1077	0.967	
1078	0.967	
1079	0.966	
1080	0.966	
1081	0.966	
1082	0.966	
1083	0.966	
1084	0.965	
1085	0.965	
1086	0.965	
1087	0.965	
1088	0.965	
1089	0.964	
1090	0.964	
1091	0.964	
1092	0.963	
1093	0.963	
1094	0.963	
1095	0.963	
1096	0.963	
1097	0.962	
1098	0.962	
1099	0.962	
1100	0.961	
