Wavelength (nm)	Relative Power	Description
664	84.726	
665	86.224	
666	86.157	
667	85.544	
668	85.836	
669	87.316	
670	86.115	
671	85.951	
672	84.756	
673	85.496	
674	85.375	
675	84.671	
676	85.654	
677	84.871	
678	85.326	
679	84.604	
680	84.738	
681	84.41	
682	84.81	
683	83.894	
684	83.342	
685	83.397	
686	81.517	
687	58.735	
688	67.977	
689	68.414	
690	71.708	
691	74.813	
692	76.973	
693	76.488	
694	75.608	
695	77.125	
696	76.943	
697	81.304	
698	80.024	
699	78.362	
700	77.786	
701	76.791	
702	76.882	
703	77.325	
704	79.333	
705	80.158	
706	79.733	
707	79.406	
708	79.151	
709	79.436	
710	79.921	
711	79.8	
712	79.29	
713	78.362	
714	79.035	
715	76.354	
716	77.137	
717	67.158	
718	62.457	
719	56.001	
720	59.782	
721	65.884	
722	75.262	
723	69.421	
724	64.028	
725	62.966	
726	65.593	
727	65.817	
728	63.088	
729	63.488	
730	68.456	
731	64.926	
732	69.967	
733	72.563	
734	74.959	
735	73.873	
736	73.151	
737	73.03	
738	74.425	
739	72.217	
740	73.976	
741	73.691	
742	73.722	
743	75.25	
744	75.845	
745	75.808	
746	75.645	
747	75.687	
748	75.226	
749	74.959	
750	74.862	
751	74.528	
752	74.795	
753	74.407	
754	75.341	
755	75.117	
756	74.201	
757	74.134	
758	74.583	
759	72.46	
760	16.138	
761	9.339	
762	41.714	
763	23.022	
764	32.683	
765	41.614	
766	49.415	
767	59.094	
768	67.564	
769	68.414	
770	70.416	
771	70.889	
772	71.447	
773	71.404	
774	71.404	
775	71.404	
776	71.568	
777	71.137	
778	71.052	
779	71.368	
780	70.585	
781	70.409	
782	70.743	
783	70.452	
784	69.979	
785	70.282	
786	70.318	
787	69.457	
788	68.577	
789	68.286	
790	66.181	
791	67.079	
792	66.442	
793	65.969	
794	66.557	
795	66.315	
796	65.162	
797	66.2	
798	67.461	
799	66.151	
800	65.059	
801	65.775	
802	65.854	
803	64.647	
804	65.405	
805	63.967	
806	66.57	
807	65.872	
808	65.641	
809	63.985	
810	64.052	
811	63.894	
812	62.287	
813	61.183	
814	54.811	
815	54.306	
816	50.48	
817	51.673	
818	49.899	
819	54.91	
820	52.283	
821	60.518	
822	57.723	
823	40.807	
824	56.722	
825	58.802	
826	56.646	
827	59.73	
828	51.549	
829	56.372	
830	55.566	
831	56.046	
832	54.247	
833	58.022	
834	56.665	
835	60.855	
836	58.983	
837	61.219	
838	60.601	
839	60.74	
840	61.614	
841	61.274	
842	60.481	
843	60.983	
844	59.831	
845	61.662	
846	61.796	
847	60.158	
848	60.186	
849	59.81	
850	54.214	
851	59.14	
852	58.797	
853	58.53	
854	51.63	
855	55.384	
856	59.034	
857	60.155	
858	60.173	
859	60.158	
860	59.943	
861	59.86	
862	60.327	
863	60.692	
864	59.397	
865	58.431	
866	51.501	
867	55.533	
868	58.186	
869	57.601	
870	58.693	
871	57.863	
872	58.651	
873	58.066	
874	57.047	
875	56.225	
876	57.796	
877	58.001	
878	57.772	
879	56.813	
880	56.995	
881	55.117	
882	56.564	
883	56.371	
884	56.6	
885	57.278	
886	55.051	
887	55.239	
888	55.947	
889	56.691	
890	56.047	
891	56.163	
892	55.13	
893	52.974	
894	51.641	
895	49.352	
896	46.256	
897	40.38	
898	43.543	
899	33.285	
900	45.047	
901	36.356	
902	40.516	
903	41.789	
904	51.233	
905	49.566	
906	47.048	
907	38.735	
908	39.561	
909	42.724	
